INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME
27538787,11/25/2006,04:14:00
81804941,11/21/2011,16:10:00
72837481,05/22/2010,02:29:00
224354730,02/12/2021,05:15:00
214828723,07/01/2020,02:35:00
217211030,08/29/2020,02:40:00
25527195,11/30/2006,01:57:00
55256117,12/27/2008,04:06:00
36198161,12/08/2007,07:12:00
25055206,10/30/2006,22:54:00
225295736,03/07/2021,06:15:00
25384543,11/20/2006,23:07:00
46248087,05/07/2008,01:02:00
23957542,08/20/2006,05:16:00
198255460,06/07/2019,17:50:00
24050486,08/27/2006,00:05:00
230162217,06/27/2021,18:50:00
49271460,07/28/2008,13:06:00
167468073,07/26/2017,16:29:00
26475587,01/24/2007,15:00:00
38453892,01/27/2008,06:12:00
45652262,04/13/2008,16:00:00
228563312,05/22/2021,01:15:00
33154114,07/17/2007,20:48:00
66017111,09/21/2009,20:24:00
91683339,07/17/2013,22:59:00
28946341,05/10/2007,15:05:00
16631433,05/20/2006,13:14:00
23650230,08/01/2006,00:07:00
85538929,07/02/2012,02:40:00
232862314,08/28/2021,08:04:00
79008368,05/28/2011,01:03:00
87921947,12/02/2012,02:40:00
145778392,08/31/2015,23:43:00
92077657,08/10/2013,10:05:00
109506089,04/09/2014,22:20:00
65192507,08/27/2009,23:00:00
54942500,12/16/2008,01:49:00
51559645,09/21/2008,23:10:00
230310962,07/01/2021,21:10:00
161311803,01/28/2017,10:00:00
219057185,10/10/2020,20:20:00
63189239,06/28/2009,00:48:00
88330219,12/29/2012,02:30:00
192974875,01/30/2019,19:02:00
141406522,03/14/2015,01:09:00
78157307,04/09/2011,20:10:00
217212140,08/29/2020,20:22:00
88690811,01/22/2013,01:30:00
214183639,06/12/2020,23:00:00
23354136,07/10/2006,21:11:00
62968509,06/21/2009,04:41:00
235740735,10/31/2021,00:50:00
66904250,10/18/2009,02:41:00
63519473,07/08/2009,21:08:00
208378499,01/22/2020,12:45:00
140651189,01/22/2015,05:30:00
210461145,03/03/2020,12:23:00
25950260,12/25/2006,23:30:00
225725570,03/16/2021,03:53:00
200994119,08/11/2019,02:17:00
139762462,11/20/2014,17:00:00
170435752,10/14/2017,22:07:00
72195829,04/12/2010,23:59:00
157486101,10/11/2016,01:55:00
153615014,06/01/2016,17:00:00
143582954,06/09/2015,23:40:00
72636950,05/10/2010,16:20:00
10333338,02/05/2006,12:50:00
215400281,07/16/2020,00:50:00
186606593,08/19/2018,01:30:00
231390985,07/26/2021,21:47:00
230606421,07/08/2021,01:16:00
109659979,04/20/2014,01:12:00
226597465,04/06/2021,13:48:00
152164624,04/15/2016,16:04:00
146462815,09/26/2015,22:20:00
85861939,07/21/2012,22:40:00
75974448,12/13/2010,22:37:00
25344914,11/17/2006,22:41:00
71351051,02/16/2010,16:54:00
37902718,01/18/2008,03:32:00
229161010,06/06/2021,01:03:00
74118537,08/11/2010,01:32:00
82009456,12/02/2011,16:05:00
64270905,07/30/2009,19:07:00
170014773,10/03/2017,18:31:00
223240945,01/18/2021,13:25:00
74054053,08/07/2010,00:30:00
24129966,09/02/2006,04:17:00
220122287,11/04/2020,23:15:00
47044337,06/07/2008,01:40:00
94287226,01/02/2014,17:30:00
85875439,07/22/2012,21:35:00
214693510,06/28/2020,23:58:00
95385216,03/15/2014,15:48:00
23665376,08/01/2006,22:57:00
75955749,12/12/2010,17:58:00
142472725,04/27/2015,20:27:00
79896471,07/20/2011,03:38:00
140080798,12/06/2014,16:04:00
205748548,11/27/2019,22:24:00
26530375,01/27/2007,21:36:00
212063437,04/15/2020,22:03:00
26054098,01/02/2007,15:18:00
23678693,08/01/2006,21:59:00
216935359,08/23/2020,22:39:00
71947432,03/28/2010,21:03:00
79378078,06/19/2011,05:36:00
92077660,08/11/2013,04:15:00
16631484,05/29/2006,02:23:00
81035628,10/04/2011,16:40:00
29301874,05/28/2007,23:48:00
137143002,06/08/2014,21:55:00
144479292,07/13/2015,22:02:00
143334354,05/31/2015,17:51:00
33706908,08/12/2007,18:55:00
137086415,06/04/2014,22:49:00
80784453,09/18/2011,19:55:00
155775753,08/13/2016,02:28:00
232978166,08/31/2021,19:20:00
231944879,08/08/2021,02:54:00
214359652,06/18/2020,21:24:00
234268729,09/29/2021,12:50:00
92386265,08/31/2013,03:29:00
63859989,07/19/2009,03:37:00
91329396,06/25/2013,01:00:00
10619057,02/24/2006,23:21:00
169566542,09/20/2017,20:15:00
157846248,10/23/2016,04:18:00
213973277,06/08/2020,22:38:00
71938174,03/27/2010,06:41:00
55953374,01/23/2009,05:17:00
213819785,06/03/2020,16:55:00
73815776,07/23/2010,22:22:00
235457029,10/24/2021,19:15:00
65244078,08/30/2009,05:00:00
10879213,04/01/2006,13:15:00
85180337,06/10/2012,13:10:00
138181529,08/12/2014,02:20:00
109390643,04/02/2014,18:53:00
32807472,06/29/2007,01:39:00
34930535,10/08/2007,01:08:00
78671363,05/11/2011,00:45:00
90054887,04/10/2013,19:32:00
10619094,03/04/2006,15:00:00
228369050,05/18/2021,00:31:00
145179749,08/09/2015,01:05:00
24050475,08/26/2006,23:43:00
29174607,05/22/2007,16:30:00
72214692,04/14/2010,02:42:00
83912221,03/27/2012,22:08:00
148922897,12/29/2015,15:30:00
227089753,04/18/2021,12:30:00
34430624,09/16/2007,04:15:00
164887362,05/16/2017,16:30:00
232591780,08/21/2021,00:23:00
145778391,08/31/2015,15:02:00
86469571,08/27/2012,23:55:00
10187500,01/19/2006,18:12:00
236254076,11/13/2021,16:59:00
137804320,07/20/2014,01:40:00
88244187,12/22/2012,02:00:00
93273402,10/26/2013,04:15:00
55064114,12/21/2008,23:54:00
218392074,09/25/2020,12:05:00
141114173,02/24/2015,10:00:00
164244239,04/28/2017,16:01:00
155808331,08/16/2016,02:03:00
219975711,10/31/2020,19:04:00
140168265,12/12/2014,23:20:00
45820137,04/19/2008,19:30:00
45990090,04/27/2008,17:46:00
90925979,05/31/2013,20:26:00
80495597,08/29/2011,00:08:00
73932183,08/01/2010,22:04:00
23957542,08/20/2006,05:16:00
35855614,11/20/2007,10:23:00
235428525,10/22/2021,23:10:00
216059133,08/02/2020,03:35:00
214828723,07/01/2020,02:35:00
86211820,08/12/2012,01:09:00
219578468,10/22/2020,03:29:00
24224966,09/07/2006,16:45:00
10187497,01/19/2006,20:23:00
82009220,12/03/2011,04:00:00
55256119,12/26/2008,02:27:00
44772991,03/24/2008,21:05:00
34129868,09/02/2007,00:54:00
154464450,06/29/2016,21:17:00
23888270,08/14/2006,02:15:00
86380192,08/22/2012,03:35:00
28812354,05/02/2007,23:01:00
153916054,06/12/2016,03:40:00
198595257,06/17/2019,17:34:00
217593702,09/08/2020,17:46:00
232623735,08/23/2021,13:40:00
79032765,05/30/2011,19:45:00
138496681,09/01/2014,03:30:00
59090170,02/25/2009,11:32:00
233253334,09/07/2021,15:00:00
216935791,08/23/2020,23:36:00
225385469,03/09/2021,15:30:00
158090348,10/31/2016,22:25:00
215223444,07/11/2020,01:53:00
155372446,07/31/2016,01:41:00
45768384,04/18/2008,16:56:00
24717007,10/09/2006,04:10:00
91842767,07/28/2013,02:43:00
10333319,02/02/2006,17:37:00
218513676,09/29/2020,01:20:00
79377426,06/19/2011,01:22:00
72761419,05/18/2010,02:19:00
35339137,10/28/2007,03:41:00
204338716,10/28/2019,14:26:00
81328433,10/22/2011,21:30:00
69347162,12/29/2009,21:20:00
61459876,05/05/2009,23:35:00
217776903,09/13/2020,09:16:00
55532386,01/08/2009,13:50:00
23833843,08/12/2006,03:30:00
195396612,03/30/2019,00:50:00
52661602,10/31/2008,23:23:00
39273321,02/20/2008,23:30:00
73220802,06/15/2010,00:39:00
86093517,08/04/2012,23:58:00
57938889,02/17/2009,19:55:00
49863673,08/06/2008,01:05:00
80037718,07/29/2011,03:40:00
162111401,02/20/2017,21:14:00
86437258,08/26/2012,01:05:00
87258112,10/16/2012,00:15:00
162079386,02/19/2017,22:00:00
86437260,08/26/2012,02:10:00
23846685,08/13/2006,04:15:00
89728550,03/20/2013,22:22:00
86520723,08/30/2012,21:05:00
90925977,05/31/2013,20:45:00
51359385,09/14/2008,10:30:00
63472901,07/06/2009,00:15:00
10333339,02/05/2006,13:08:00
69410711,12/30/2009,23:57:00
89770225,03/22/2013,16:00:00
226762828,04/09/2021,20:40:00
142620865,05/03/2015,20:52:00
26989347,02/21/2007,08:43:00
12835945,05/07/2006,11:34:00
51359384,09/15/2008,03:39:00
218096536,09/20/2020,03:08:00
62926155,06/19/2009,20:58:00
230247120,06/30/2021,01:00:00
88272112,12/24/2012,08:00:00
226478359,04/03/2021,18:00:00
227344443,04/25/2021,06:30:00
226321324,03/30/2021,16:25:00
173354054,01/06/2018,21:05:00
84104184,04/07/2012,07:05:00
81288929,10/20/2011,04:24:00
228307360,05/17/2021,04:00:00
171918098,11/24/2017,00:30:00
