INCIDENT_KEY,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
64318203,BROOKLYN,,79,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,<18,M,BLACK
74926762,BROOKLYN,,81,0,,MULTI DWELL - APT BUILD,TRUE,,,,25-44,M,BLACK
68965584,BROOKLYN,,77,0,,,TRUE,,,,18-24,M,BLACK
174146094,QUEENS,,106,0,,,TRUE,25-44,M,BLACK,45-64,F,BLACK
23354084,BRONX,,41,0,,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE HISPANIC,18-24,M,BLACK
154805439,QUEENS,,103,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK
138187123,BRONX,,41,0,,,TRUE,25-44,M,BLACK,45-64,M,BLACK
137297906,BROOKLYN,,69,0,,,FALSE,18-24,M,BLACK,25-44,M,BLACK
37384809,BRONX,,44,0,,,TRUE,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC
195743584,STATEN ISLAND,,120,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
198255459,MANHATTAN,,33,0,,,TRUE,18-24,M,BLACK,18-24,M,WHITE HISPANIC
141291071,QUEENS,,113,0,,,FALSE,25-44,M,BLACK,18-24,M,BLACK
141680565,QUEENS,,113,0,,,TRUE,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER
71712042,BRONX,,48,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,WHITE HISPANIC
174817652,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK
72123360,BRONX,,47,0,,,TRUE,25-44,M,BLACK,25-44,M,BLACK
84229337,BROOKLYN,,75,0,,PVT HOUSE,FALSE,,,,<18,M,BLACK
69917305,BROOKLYN,,75,0,,,FALSE,<18,M,WHITE HISPANIC,<18,M,BLACK
23421779,BROOKLYN,,67,0,,,TRUE,,,,25-44,M,BLACK
63405887,BROOKLYN,,79,0,,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
178203197,BROOKLYN,,70,0,,,FALSE,18-24,M,BLACK,45-64,F,BLACK
84341651,QUEENS,,104,0,,,FALSE,18-24,M,UNKNOWN,<18,M,BLACK HISPANIC
157130894,BROOKLYN,,79,0,,GROCERY/BODEGA,TRUE,18-24,M,BLACK,45-64,M,WHITE
147874630,BROOKLYN,,81,1,,,FALSE,18-24,M,BLACK,25-44,M,BLACK
138322612,BROOKLYN,,60,0,,MULTI DWELL - APT BUILD,TRUE,,,,18-24,M,BLACK
185849657,MANHATTAN,,23,0,,,FALSE,18-24,M,BLACK,<18,M,BLACK
63885689,MANHATTAN,,28,0,,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
47385361,MANHATTAN,,26,0,,,FALSE,18-24,M,BLACK,<18,M,BLACK
74345772,BROOKLYN,,79,0,,,FALSE,,,,25-44,M,BLACK
206196589,BRONX,,47,0,,,FALSE,25-44,M,BLACK,45-64,M,BLACK HISPANIC
82672253,BROOKLYN,,81,0,,,FALSE,,,,18-24,M,WHITE HISPANIC
88421874,MANHATTAN,,7,0,,,TRUE,18-24,M,WHITE HISPANIC,<18,M,BLACK HISPANIC
75886518,BROOKLYN,,81,0,,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK
32786999,BROOKLYN,,88,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,<18,M,BLACK
